data_point,theta,phi,psi,d_theta,d_phi,d_psi
176,0,0,0,0,0,0
177,0,0,0,0,0,0
178,0,0,0,0,0,0
179,0,0,0,0,0,0
180,0,0,0,0,0,0
181,0,0,0,0,0,0
182,0,0,0,0,0,0
183,0,0,0,0,0,0
184,0,0,0,0,0,0
185,0,0,0,0,0,0
186,0,0,0,0,0,0
187,0,0,0,0,0,0
188,0,0,0,0,0,0
189,0,0,0,0,0,0
190,0,0,0,0,0,0
191,0,0,0,0,0,0
192,0,0,0,0,0,0
193,0,0,0,0,0,0
194,0,0,0,0,0,0
195,0,0,0,0,0,0
196,0,0,0,0,0,0
197,0,0,0,0,0,0
198,0,0,0,0,0,0
199,0,0,0,0,0,0
200,0,0,0,0,0,0
201,0,0,0,0,0,0
202,0,0,0,0,0,0
203,0,0,0,0,0,0
204,0,0,0,0,0,0
205,0,0,0,0,0,0
206,0,0,0,0,0,0
207,0,0,0,0,0,0
208,0,0,0,0,0,0
209,0,0,0,0,0,0
210,0,0,0,0,0,0
211,0,0,0,0,0,0
212,0,0,0,0,0,0
213,0,0,0,0,0,0
214,0,0,0,0,0,0
215,0,0,0,0,0,0
216,0,0,0,0,0,0
217,0,0,0,0,0,0
218,0,0,0,0,0,0
219,0,0,0,0,0,0
220,0,0,0,0,0,0
221,0,0,0,0,0,0
222,0,0,0,0,0,0
223,0,0,0,0,0,0
224,0,0,0,0,0,0
225,0,0,0,0,0,0
226,0,0,0,0,0,0
227,0,0,0,0,0,0
228,0,0,0,0,0,0
229,0,0,0,0,0,0
230,0,0,0,0,0,0
231,0,0,0,0,0,0
232,0,0,0,0,0,0
233,0,0,0,0,0,0
234,0,0,0,0,0,0
235,0,0,0,0,0,0
236,0,0,0,0,0,0
237,0,0,0,0,0,0
238,0,0,0,0,0,0
239,0,0,0,0,0,0
240,0,0,0,0,0,0
241,0,0,0,0,0,0
242,0,0,0,0,0,0
243,0,0,0,0,0,0
244,0,0,0,0,0,0
245,0,0,0,0,0,0
246,0,0,0,0,0,0
247,0,0,0,0,0,0
248,0,0,0,0,0,0
249,0,0,0,0,0,0
250,0,0,0,0,0,0
251,0,0,0,0,0,0
252,0,0,0,0,0,0
253,0,0,0,0,0,0
254,0,0,0,0,0,0
255,0,0,0,0,0,0
256,0,0,0,0,0,0
257,0,0,0,0,0,0
258,0,0,0,0,0,0
259,0,0,0,0,0,0
260,0,0,0,0,0,0
261,0,0,0,0,0,0
262,0,0,0,0,0,0
263,0,0,0,0,0,0
264,0,0,0,0,0,0
265,0,0,0,0,0,0
266,0,0,0,0,0,0
267,0,0,0,0,0,0
268,0,0,0,0,0,0
269,0,0,0,0,0,0
270,0,0,0,0,0,0
271,0,0,0,0,0,0
272,0,0,0,0,0,0
273,0,0,0,0,0,0
274,0,0,0,0,0,0
275,0,0,0,0,0,0
276,0,0,0,0,0,0
277,0,0,0,0,0,0
278,0,0,0,0,0,0
279,0,0,0,0,0,0
280,0,0,0,0,0,0
281,0,0,0,0,0,0
282,0,0,0,0,0,0
283,0,0,0,0,0,0
284,0,0,0,0,0,0
285,0,0,0,0,0,0
286,0,0,0,0,0,0
287,0,0,0,0,0,0
288,0,0,0,0,0,0
289,0,0,0,0,0,0
290,0,0,0,0,0,0
291,0,0,0,0,0,0
292,0,0,0,0,0,0
293,0,0,0,0,0,0
294,0,0,0,0,0,0
295,0,0,0,0,0,0
296,0,0,0,0,0,0
297,0,0,0,0,0,0
298,0,0,0,0,0,0
299,0,0,0,0,0,0
300,0,0,0,0,0,0
301,0,0,0,0,0,0
302,0,0,0,0,0,0
303,0,0,0,0,0,0
304,0,0,0,0,0,0
305,0,0,0,0,0,0
306,0,0,0,0,0,0
307,0,0,0,0,0,0
308,0,0,0,0,0,0
309,0,0,0,0,0,0
310,0,0,0,0,0,0
311,0,0,0,0,0,0
312,0,0,0,0,0,0
313,0,0,0,0,0,0
314,0,0,0,0,0,0
315,0,0,0,0,0,0
316,0,0,0,0,0,0
317,0,0,0,0,0,0
318,0,0,0,0,0,0
319,0,0,0,0,0,0
320,0,0,0,0,0,0
321,0,0,0,0,0,0
322,0,0,0,0,0,0
323,0,0,0,0,0,0
324,0,0,0,0,0,0
325,0,0,0,0,0,0
326,0,0,0,0,0,0
327,0,0,0,0,0,0
328,0,0,0,0,0,0
329,0,0,0,0,0,0
330,0,0,0,0,0,0
331,0,0,0,0,0,0
332,0,0,0,0,0,0
333,0,0,0,0,0,0
334,0,0,0,0,0,0
335,0,0,0,0,0,0
336,0,0,0,0,0,0
337,0,0,0,0,0,0
338,0,0,0,0,0,0
339,0,0,0,0,0,0
340,0,0,0,0,0,0
341,0,0,0,0,0,0
342,0,0,0,0,0,0
343,0,0,0,0,0,0
344,0,0,0,0,0,0
345,0,0,0,0,0,0
346,0,0,0,0,0,0
347,0,0,0,0,0,0
348,0,0,0,0,0,0
349,0,0,0,0,0,0
350,0,0,0,0,0,0
351,0,0,0,0,0,0
352,0,0,0,0,0,0
353,0,0,0,0,0,0
354,0,0,0,0,0,0
355,0,0,0,0,0,0
356,0,0,0,0,0,0
357,0,0,0,0,0,0
358,0,0,0,0,0,0
359,0,0,0,0,0,0
360,0,0,0,0,0,0
361,0,0,0,0,0,0
362,0,0,0,0,0,0
363,0,0,0,0,0,0
364,0,0,0,0,0,0
365,0,0,0,0,0,0
366,0,0,0,0,0,0
367,0,0,0,0,0,0
368,0,0,0,0,0,0
369,0,0,0,0,0,0
370,0,0,0,0,0,0
371,0,0,0,0,0,0
372,0,0,0,0,0,0
373,0,0,0,0,0,0
374,0,0,0,0,0,0
375,0,0,0,0,0,0
376,0,0,0,0,0,0
377,0,0,0,0,0,0
378,0,0,0,0,0,0
379,0,0,0,0,0,0
380,0,0,0,0,0,0
381,0,0,0,0,0,0
382,0,0,0,0,0,0
383,0,0,0,0,0,0
384,0,0,0,0,0,0
385,0,0,0,0,0,0
386,0,0,0,0,0,0
387,0,0,0,0,0,0
388,0,0,0,0,0,0
389,0,0,0,0,0,0
390,0,0,0,0,0,0
391,0,0,0,0,0,0
392,0,0,0,0,0,0
393,0,0,0,0,0,0
394,0,0,0,0,0,0
395,0,0,0,0,0,0
396,0,0,0,0,0,0
397,0,0,0,0,0,0
398,0,0,0,0,0,0
399,0,0,0,0,0,0
400,0,0,0,0,0,0
401,0,0,0,0,0,0
402,0,0,0,0,0,0
403,0,0,0,0,0,0
404,0,0,0,0,0,0
405,0,0,0,0,0,0
406,0,0,0,0,0,0
407,0,0,0,0,0,0
408,0,0,0,0,0,0
409,0,0,0,0,0,0
410,0,0,0,0,0,0
411,0,0,0,0,0,0
412,0,0,0,0,0,0
413,0,0,0,0,0,0
414,0,0,0,0,0,0
415,0,0,0,0,0,0
416,0,0,0,0,0,0
417,0,0,0,0,0,0
418,0,0,0,0,0,0
419,0,0,0,0,0,0
420,0,0,0,0,0,0
421,0,0,0,0,0,0
422,0,0,0,0,0,0
423,0,0,0,0,0,0
424,0,0,0,0,0,0
425,0,0,0,0,0,0
426,0,0,0,0,0,0
427,0,0,0,0,0,0
428,0,0,0,0,0,0
429,0,0,0,0,0,0
430,0,0,0,0,0,0
431,0,0,0,0,0,0
432,0,0,0,0,0,0
433,0,0,0,0,0,0
434,0,0,0,0,0,0
435,0,0,0,0,0,0
436,0,0,0,0,0,0
437,0,0,0,0,0,0
438,0,0,0,0,0,0
439,0,0,0,0,0,0
440,0,0,0,0,0,0
441,0,0,0,0,0,0
442,0,0,0,0,0,0
443,0,0,0,0,0,0
444,0,0,0,0,0,0
445,0,0,0,0,0,0
446,0,0,0,0,0,0
447,0,0,0,0,0,0
448,0,0,0,0,0,0
449,0,0,0,0,0,0
450,0,0,0,0,0,0
451,0,0,0,0,0,0
452,0,0,0,0,0,0
453,0,0,0,0,0,0
454,0,0,0,0,0,0
455,0,0,0,0,0,0
456,0,0,0,0,0,0
457,0,0,0,0,0,0
458,0,0,0,0,0,0
459,0,0,0,0,0,0
460,0,0,0,0,0,0
461,0,0,0,0,0,0
462,0,0,0,0,0,0
463,0,0,0,0,0,0
464,0,0,0,0,0,0
465,0,0,0,0,0,0
466,0,0,0,0,0,0
467,0,0,0,0,0,0
468,0,0,0,0,0,0
469,0,0,0,0,0,0
470,0,0,0,0,0,0
471,0,0,0,0,0,0
472,0,0,0,0,0,0
473,0,0,0,0,0,0
474,0,0,0,0,0,0
475,0,0,0,0,0,0
476,0,0,0,0,0,0
477,0,0,0,0,0,0
478,0,0,0,0,0,0
479,0,0,0,0,0,0
480,0,0,0,0,0,0
481,0,0,0,0,0,0
482,0,0,0,0,0,0
483,0,0,0,0,0,0
484,0,0,0,0,0,0
485,0,0,0,0,0,0
486,0,0,0,0,0,0
487,0,0,0,0,0,0
488,0,0,0,0,0,0
489,0,0,0,0,0,0
490,0,0,0,0,0,0
491,0,0,0,0,0,0
492,0,0,0,0,0,0
493,0,0,0,0,0,0
494,0,0,0,0,0,0
495,0,0,0,0,0,0
496,0,0,0,0,0,0
497,0,0,0,0,0,0
498,0,0,0,0,0,0
499,0,0,0,0,0,0
500,0,0,0,0,0,0
501,0.002617993877991494,0,0,0.2617993877991494,0,0
502,0.005235987755982988,0,0,0.2617993877991494,0,0
503,0.007853981633974482,0,0,0.26179938779914935,0,0
504,0.010471975511965976,0,0,0.26179938779914946,0,0
505,0.01308996938995747,0,0,0.26179938779914946,0,0
506,0.015707963267948963,0,0,0.2617993877991493,0,0
507,0.018325957145940458,0,0,0.26179938779914946,0,0
508,0.020943951023931952,0,0,0.26179938779914946,0,0
509,0.023561944901923447,0,0,0.26179938779914946,0,0
510,0.02617993877991494,0,0,0.26179938779914946,0,0
511,0.028797932657906436,0,0,0.26179938779914946,0,0
512,0.03141592653589793,0,0,0.26179938779914913,0,0
513,0.034033920413889425,0,0,0.2617993877991498,0,0
514,0.036651914291880916,0,0,0.26179938779914913,0,0
515,0.039269908169872414,0,0,0.2617993877991498,0,0
516,0.041887902047863905,0,0,0.26179938779914913,0,0
517,0.044505895925855396,0,0,0.26179938779914913,0,0
518,0.047123889803846894,0,0,0.2617993877991498,0,0
519,0.049741883681838385,0,0,0.26179938779914913,0,0
520,0.05235987755982988,0,0,0.2617993877991498,0,0
521,0.054977871437821374,0,0,0.26179938779914913,0,0
522,0.05759586531581287,0,0,0.2617993877991498,0,0
523,0.06021385919380436,0,0,0.26179938779914913,0,0
524,0.06283185307179585,0,0,0.26179938779914913,0,0
525,0.06544984694978735,0,0,0.2617993877991498,0,0
526,0.06806784082777885,0,0,0.2617993877991498,0,0
527,0.07068583470577033,0,0,0.2617993877991484,0,0
528,0.07330382858376183,0,0,0.2617993877991498,0,0
529,0.07592182246175333,0,0,0.2617993877991498,0,0
530,0.07853981633974483,0,0,0.2617993877991498,0,0
531,0.08115781021773631,0,0,0.2617993877991484,0,0
532,0.08377580409572781,0,0,0.2617993877991498,0,0
533,0.08639379797371931,0,0,0.2617993877991498,0,0
534,0.08901179185171079,0,0,0.2617993877991484,0,0
535,0.09162978572970229,0,0,0.2617993877991498,0,0
536,0.09424777960769379,0,0,0.2617993877991498,0,0
537,0.09686577348568529,0,0,0.2617993877991498,0,0
538,0.09948376736367677,0,0,0.2617993877991484,0,0
539,0.10210176124166827,0,0,0.2617993877991498,0,0
540,0.10471975511965977,0,0,0.2617993877991498,0,0
541,0.10733774899765125,0,0,0.2617993877991484,0,0
542,0.10995574287564275,0,0,0.2617993877991498,0,0
543,0.11257373675363425,0,0,0.2617993877991498,0,0
544,0.11519173063162574,0,0,0.2617993877991498,0,0
545,0.11780972450961723,0,0,0.2617993877991484,0,0
546,0.12042771838760873,0,0,0.2617993877991498,0,0
547,0.12304571226560022,0,0,0.2617993877991498,0,0
548,0.1256637061435917,0,0,0.2617993877991484,0,0
549,0.1282817000215832,0,0,0.2617993877991498,0,0
550,0.1308996938995747,0,0,0.2617993877991498,0,0
551,0.1335176877775662,0,0,0.2617993877991498,0,0
552,0.1361356816555577,0,0,0.2617993877991498,0,0
553,0.1387536755335492,0,0,0.2617993877991498,0,0
554,0.14137166941154067,0,0,0.261799387799147,0,0
555,0.14398966328953217,0,0,0.2617993877991498,0,0
556,0.14660765716752366,0,0,0.2617993877991498,0,0
557,0.14922565104551516,0,0,0.2617993877991498,0,0
558,0.15184364492350666,0,0,0.2617993877991498,0,0
559,0.15446163880149816,0,0,0.2617993877991498,0,0
560,0.15707963267948966,0,0,0.2617993877991498,0,0
561,0.15969762655748113,0,0,0.261799387799147,0,0
562,0.16231562043547262,0,0,0.2617993877991498,0,0
563,0.16493361431346412,0,0,0.2617993877991498,0,0
564,0.16755160819145562,0,0,0.2617993877991498,0,0
565,0.17016960206944712,0,0,0.2617993877991498,0,0
566,0.17278759594743862,0,0,0.2617993877991498,0,0
567,0.1754055898254301,0,0,0.2617993877991498,0,0
568,0.17802358370342158,0,0,0.261799387799147,0,0
569,0.18064157758141308,0,0,0.2617993877991498,0,0
570,0.18325957145940458,0,0,0.2617993877991498,0,0
571,0.18587756533739608,0,0,0.2617993877991498,0,0
572,0.18849555921538758,0,0,0.2617993877991498,0,0
573,0.19111355309337907,0,0,0.2617993877991498,0,0
574,0.19373154697137057,0,0,0.2617993877991498,0,0
575,0.19634954084936204,0,0,0.261799387799147,0,0
576,0.19896753472735354,0,0,0.2617993877991498,0,0
577,0.20158552860534504,0,0,0.2617993877991498,0,0
578,0.20420352248333654,0,0,0.2617993877991498,0,0
579,0.20682151636132803,0,0,0.2617993877991498,0,0
580,0.20943951023931953,0,0,0.2617993877991498,0,0
581,0.21205750411731103,0,0,0.2617993877991498,0,0
582,0.2146754979953025,0,0,0.261799387799147,0,0
583,0.217293491873294,0,0,0.2617993877991498,0,0
584,0.2199114857512855,0,0,0.2617993877991498,0,0
585,0.222529479629277,0,0,0.2617993877991498,0,0
586,0.2251474735072685,0,0,0.2617993877991498,0,0
587,0.22776546738526,0,0,0.2617993877991498,0,0
588,0.2303834612632515,0,0,0.2617993877991498,0,0
589,0.23300145514124296,0,0,0.261799387799147,0,0
590,0.23561944901923446,0,0,0.2617993877991498,0,0
591,0.23823744289722595,0,0,0.2617993877991498,0,0
592,0.24085543677521745,0,0,0.2617993877991498,0,0
593,0.24347343065320895,0,0,0.2617993877991498,0,0
594,0.24609142453120045,0,0,0.2617993877991498,0,0
595,0.24870941840919195,0,0,0.2617993877991498,0,0
596,0.2513274122871834,0,0,0.261799387799147,0,0
597,0.2539454061651749,0,0,0.2617993877991498,0,0
598,0.2565634000431664,0,0,0.2617993877991498,0,0
599,0.2591813939211579,0,0,0.2617993877991498,0,0
600,0.2617993877991494,0,0,0.2617993877991498,0,0
601,0.2644173816771409,0,0,0.2617993877991498,0,0
602,0.2670353755551324,0,0,0.2617993877991498,0,0
603,0.2696533694331239,0,0,0.2617993877991498,0,0
604,0.2722713633111154,0,0,0.2617993877991498,0,0
605,0.2748893571891069,0,0,0.2617993877991498,0,0
606,0.2775073510670984,0,0,0.2617993877991498,0,0
607,0.28012534494508984,0,0,0.26179938779914425,0,0
608,0.28274333882308134,0,0,0.2617993877991498,0,0
609,0.28536133270107283,0,0,0.2617993877991498,0,0
610,0.28797932657906433,0,0,0.2617993877991498,0,0
611,0.29059732045705583,0,0,0.2617993877991498,0,0
612,0.29321531433504733,0,0,0.2617993877991498,0,0
613,0.2958333082130388,0,0,0.2617993877991498,0,0
614,0.2984513020910303,0,0,0.2617993877991498,0,0
615,0.3010692959690218,0,0,0.2617993877991498,0,0
616,0.3036872898470133,0,0,0.2617993877991498,0,0
617,0.3063052837250048,0,0,0.2617993877991498,0,0
618,0.3089232776029963,0,0,0.2617993877991498,0,0
619,0.3115412714809878,0,0,0.2617993877991498,0,0
620,0.3141592653589793,0,0,0.2617993877991498,0,0
621,0.31677725923697075,0,0,0.26179938779914425,0,0
622,0.31939525311496225,0,0,0.2617993877991498,0,0
623,0.32201324699295375,0,0,0.2617993877991498,0,0
624,0.32463124087094525,0,0,0.2617993877991498,0,0
625,0.32724923474893675,0,0,0.2617993877991498,0,0
626,0.32986722862692824,0,0,0.2617993877991498,0,0
627,0.33248522250491974,0,0,0.2617993877991498,0,0
628,0.33510321638291124,0,0,0.2617993877991498,0,0
629,0.33772121026090274,0,0,0.2617993877991498,0,0
630,0.34033920413889424,0,0,0.2617993877991498,0,0
631,0.34295719801688573,0,0,0.2617993877991498,0,0
632,0.34557519189487723,0,0,0.2617993877991498,0,0
633,0.34819318577286873,0,0,0.2617993877991498,0,0
634,0.3508111796508602,0,0,0.2617993877991498,0,0
635,0.3534291735288517,0,0,0.2617993877991498,0,0
636,0.35604716740684317,0,0,0.26179938779914425,0,0
637,0.35866516128483467,0,0,0.2617993877991498,0,0
638,0.36128315516282616,0,0,0.2617993877991498,0,0
639,0.36390114904081766,0,0,0.2617993877991498,0,0
640,0.36651914291880916,0,0,0.2617993877991498,0,0
641,0.36913713679680066,0,0,0.2617993877991498,0,0
642,0.37175513067479216,0,0,0.2617993877991498,0,0
643,0.37437312455278365,0,0,0.2617993877991498,0,0
644,0.37699111843077515,0,0,0.2617993877991498,0,0
645,0.37960911230876665,0,0,0.2617993877991498,0,0
646,0.38222710618675815,0,0,0.2617993877991498,0,0
647,0.38484510006474965,0,0,0.2617993877991498,0,0
648,0.38746309394274114,0,0,0.2617993877991498,0,0
649,0.39008108782073264,0,0,0.2617993877991498,0,0
650,0.3926990816987241,0,0,0.26179938779914425,0,0
651,0.3953170755767156,0,0,0.2617993877991498,0,0
652,0.3979350694547071,0,0,0.2617993877991498,0,0
653,0.4005530633326986,0,0,0.2617993877991498,0,0
654,0.4031710572106901,0,0,0.2617993877991498,0,0
655,0.4057890510886816,0,0,0.2617993877991498,0,0
656,0.40840704496667307,0,0,0.2617993877991498,0,0
657,0.41102503884466457,0,0,0.2617993877991498,0,0
658,0.41364303272265607,0,0,0.2617993877991498,0,0
659,0.41626102660064757,0,0,0.2617993877991498,0,0
660,0.41887902047863906,0,0,0.2617993877991498,0,0
661,0.42149701435663056,0,0,0.2617993877991498,0,0
662,0.42411500823462206,0,0,0.2617993877991498,0,0
663,0.42673300211261356,0,0,0.2617993877991498,0,0
664,0.429350995990605,0,0,0.26179938779914425,0,0
665,0.4319689898685965,0,0,0.2617993877991498,0,0
666,0.434586983746588,0,0,0.2617993877991498,0,0
667,0.4372049776245795,0,0,0.2617993877991498,0,0
668,0.439822971502571,0,0,0.2617993877991498,0,0
669,0.4424409653805625,0,0,0.2617993877991498,0,0
670,0.445058959258554,0,0,0.2617993877991498,0,0
671,0.4476769531365455,0,0,0.2617993877991498,0,0
672,0.450294947014537,0,0,0.2617993877991498,0,0
673,0.4529129408925285,0,0,0.2617993877991498,0,0
674,0.45553093477052,0,0,0.2617993877991498,0,0
675,0.4581489286485115,0,0,0.2617993877991498,0,0
676,0.460766922526503,0,0,0.2617993877991498,0,0
677,0.4633849164044945,0,0,0.2617993877991498,0,0
678,0.4660029102824859,0,0,0.26179938779914425,0,0
679,0.4686209041604774,0,0,0.2617993877991498,0,0
680,0.4712388980384689,0,0,0.2617993877991498,0,0
681,0.4738568919164604,0,0,0.2617993877991498,0,0
682,0.4764748857944519,0,0,0.2617993877991498,0,0
683,0.4790928796724434,0,0,0.2617993877991498,0,0
684,0.4817108735504349,0,0,0.2617993877991498,0,0
685,0.4843288674284264,0,0,0.2617993877991498,0,0
686,0.4869468613064179,0,0,0.2617993877991498,0,0
687,0.4895648551844094,0,0,0.2617993877991498,0,0
688,0.4921828490624009,0,0,0.2617993877991498,0,0
689,0.4948008429403924,0,0,0.2617993877991498,0,0
690,0.4974188368183839,0,0,0.2617993877991498,0,0
691,0.5000368306963754,0,0,0.2617993877991498,0,0
692,0.5026548245743668,0,0,0.26179938779914425,0,0
693,0.5052728184523584,0,0,0.26179938779915535,0,0
694,0.5078908123303498,0,0,0.26179938779914425,0,0
695,0.5105088062083414,0,0,0.26179938779915535,0,0
696,0.5131268000863328,0,0,0.26179938779914425,0,0
697,0.5157447939643244,0,0,0.26179938779915535,0,0
698,0.5183627878423158,0,0,0.26179938779914425,0,0
699,0.5209807817203074,0,0,0.26179938779915535,0,0
700,0.5235987755982988,0,0,0.26179938779914425,0,0
701,0.5262167694762903,0,0,0.26179938779914425,0,0
702,0.5288347633542818,0,0,0.26179938779915535,0,0
703,0.5314527572322733,0,0,0.26179938779914425,0,0
704,0.5340707511102648,0,0,0.26179938779915535,0,0
705,0.5366887449882562,0,0,0.26179938779914425,0,0
706,0.5393067388662478,0,0,0.26179938779915535,0,0
707,0.5419247327442392,0,0,0.26179938779914425,0,0
708,0.5445427266222308,0,0,0.26179938779915535,0,0
709,0.5471607205002222,0,0,0.26179938779914425,0,0
710,0.5497787143782138,0,0,0.26179938779915535,0,0
711,0.5523967082562052,0,0,0.26179938779914425,0,0
712,0.5550147021341968,0,0,0.26179938779915535,0,0
713,0.5576326960121882,0,0,0.26179938779914425,0,0
714,0.5602506898901797,0,0,0.26179938779914425,0,0
715,0.5628686837681712,0,0,0.26179938779915535,0,0
716,0.5654866776461627,0,0,0.26179938779914425,0,0
717,0.5681046715241542,0,0,0.26179938779915535,0,0
718,0.5707226654021457,0,0,0.26179938779914425,0,0
719,0.5733406592801372,0,0,0.26179938779915535,0,0
720,0.5759586531581287,0,0,0.26179938779914425,0,0
721,0.5785766470361202,0,0,0.26179938779915535,0,0
722,0.5811946409141117,0,0,0.26179938779914425,0,0
723,0.5838126347921032,0,0,0.26179938779915535,0,0
724,0.5864306286700947,0,0,0.26179938779914425,0,0
725,0.5890486225480862,0,0,0.26179938779915535,0,0
726,0.5916666164260777,0,0,0.26179938779914425,0,0
727,0.5942846103040692,0,0,0.26179938779915535,0,0
728,0.5969026041820606,0,0,0.26179938779914425,0,0
729,0.5995205980600521,0,0,0.26179938779914425,0,0
730,0.6021385919380436,0,0,0.26179938779915535,0,0
731,0.6047565858160351,0,0,0.26179938779914425,0,0
732,0.6073745796940266,0,0,0.26179938779915535,0,0
733,0.6099925735720181,0,0,0.26179938779914425,0,0
734,0.6126105674500096,0,0,0.26179938779915535,0,0
735,0.6152285613280011,0,0,0.26179938779914425,0,0
736,0.6178465552059926,0,0,0.26179938779915535,0,0
737,0.6204645490839841,0,0,0.26179938779914425,0,0
738,0.6230825429619756,0,0,0.26179938779915535,0,0
739,0.6257005368399671,0,0,0.26179938779914425,0,0
740,0.6283185307179586,0,0,0.26179938779915535,0,0
741,0.6309365245959501,0,0,0.26179938779914425,0,0
742,0.6335545184739415,0,0,0.26179938779914425,0,0
743,0.6361725123519331,0,0,0.26179938779915535,0,0
744,0.6387905062299245,0,0,0.26179938779914425,0,0
745,0.6414085001079161,0,0,0.26179938779915535,0,0
746,0.6440264939859075,0,0,0.26179938779914425,0,0
747,0.646644487863899,0,0,0.26179938779915535,0,0
748,0.6492624817418905,0,0,0.26179938779914425,0,0
